Time,CHIRPS1,Actual,Selaud
25/05/2017,0,,0.5
26/05/2017,5.815964,,0
27/05/2017,0,,0
28/05/2017,0,,11
29/05/2017,10.1779375,,0
30/05/2017,5.0889688,,22
31/05/2017,15.266907,,16.5
01/06/2017,20.56265,,13
02/06/2017,6.854217,,22
03/06/2017,0,,29
04/06/2017,6.854217,,0
05/06/2017,13.708434,,0
06/06/2017,7.1058097,,0.5
07/06/2017,14.211619,,0
08/06/2017,0,,0
09/06/2017,0,,5
10/06/2017,0,,0
11/06/2017,21.87268,,0
12/06/2017,10.93634,,38
13/06/2017,10.93634,,0.5
14/06/2017,10.93634,,5
15/06/2017,21.87268,,1.5
16/06/2017,0,,4
17/06/2017,0,,1.5
18/06/2017,9.590327,,0.5
19/06/2017,28.770983,,0.5
20/06/2017,28.770983,,0.5
21/06/2017,0,,17
22/06/2017,0,,0
23/06/2017,10.011463,,0
24/06/2017,10.011463,,6
25/06/2017,0,,0.5
26/06/2017,0,,2.5
27/06/2017,0,,0
28/06/2017,6.77987,,0
29/06/2017,20.33961,,0
30/06/2017,6.77987,,1
01/07/2017,0,,0
02/07/2017,11.628214,,0
03/07/2017,34.884644,,0
04/07/2017,11.628214,,0
05/07/2017,0,,0
06/07/2017,10.151994,,0
07/07/2017,20.303988,,0
08/07/2017,0,,14
09/07/2017,40.607975,,3.5
10/07/2017,30.455978,,0.5
11/07/2017,27.967339,,9.5
12/07/2017,9.322447,,16
13/07/2017,18.644894,,3
14/07/2017,9.322447,,7
15/07/2017,18.644894,,20
16/07/2017,0,,32.5
17/07/2017,10.179673,,0
18/07/2017,30.539017,,4.5
19/07/2017,0,,127.5
20/07/2017,10.179673,,2.5
21/07/2017,11.474409,,0.5
22/07/2017,0,,1
23/07/2017,0,,0
24/07/2017,0,,0
25/07/2017,0,,0
26/07/2017,0,,0
27/07/2017,0,,0
28/07/2017,0,,0
29/07/2017,0,,0
30/07/2017,0,,0
31/07/2017,14.687228,,0
01/08/2017,0,,0
02/08/2017,3.291113,,0
03/08/2017,6.582226,,1
